id;id_collaboratore;nome;cognome;tipologia;id_pratic;id_invito
1;92851;matrix;Division;enterprise;53896;57108
2;97838;transmit;deposit;Cyprus;54029;31859
3;3406;incremental Internal Shoes;asymmetric Tanzanian Shilling Integration;bus Paradigm groupware;70925;55638
4;17555;Buckinghamshire Officer efficient;connecting Generic Auto Loan Account;Fall real-time;78867;34727
5;88826;hacking Checking Account Gibraltar;Indiana Intuitive Bedfordshire;transmitting Interactions;9594;85418
6;7127;Configurable microchip;transparent sensor Cross-group;silver;75939;53436
7;70969;array redundant;cyan optimize deposit;Officer;71552;2197
8;44144;Baby Cambridgeshire Fields;Administrator payment;Skyway;91277;41124
9;17341;Garden;Oregon strategic eco-centric;e-business array yellow;18575;27505
10;24599;Facilitator International;FTP sticky Cheese;leverage;16934;82891
